Year,Vaccine,Coverage
1980,BCG,54.44
1980,DTP1,
1980,DTP3,45.22
1980,DTP4,
1980,HepB3,
1980,HepB_BD,
1980,Hib3,
1980,IPV1,
1980,JapEnc,
1980,MCV1,44.14
1980,MCV2,
1980,MenA,
1980,PAB,
1980,PCV1,
1980,PCV2,
1980,PCV3,
1980,Pol3,49.11
1980,RCV1,
1980,Rota1,
1980,TT2plus,13.69
1980,VAD1,
1980,YFV,
1980,rotac,
1981,BCG,58.16
1981,DTP1,
1981,DTP3,49.02
1981,DTP4,
1981,HepB3,
1981,HepB_BD,
1981,Hib3,
1981,IPV1,
1981,JapEnc,
1981,MCV1,45.19
1981,MCV2,
1981,MenA,
1981,PAB,
1981,PCV1,
1981,PCV2,
1981,PCV3,
1981,Pol3,52.57
1981,RCV1,
1981,Rota1,
1981,TT2plus,15.61
1981,VAD1,
1981,YFV,
1981,rotac,
1982,BCG,59.36
1982,DTP1,
1982,DTP3,51.94
1982,DTP4,
1982,HepB3,
1982,HepB_BD,
1982,Hib3,
1982,IPV1,
1982,JapEnc,
1982,MCV1,44.11
1982,MCV2,
1982,MenA,
1982,PAB,
1982,PCV1,
1982,PCV2,
1982,PCV3,
1982,Pol3,56.08
1982,RCV1,
1982,Rota1,
1982,TT2plus,16.41
1982,VAD1,
1982,YFV,
1982,rotac,
1983,BCG,63.55
1983,DTP1,
1983,DTP3,54.66
1983,DTP4,
1983,HepB3,
1983,HepB_BD,
1983,Hib3,
1983,IPV1,
1983,JapEnc,
1983,MCV1,50.46
1983,MCV2,
1983,MenA,
1983,PAB,
1983,PCV1,
1983,PCV2,
1983,PCV3,
1983,Pol3,59.75
1983,RCV1,
1983,Rota1,
1983,TT2plus,17.98
1983,VAD1,
1983,YFV,
1983,rotac,
1984,BCG,62.5
1984,DTP1,
1984,DTP3,56.65
1984,DTP4,
1984,HepB3,
1984,HepB_BD,
1984,Hib3,
1984,IPV1,
1984,JapEnc,
1984,MCV1,51.63
1984,MCV2,
1984,MenA,
1984,PAB,
1984,PCV1,
1984,PCV2,
1984,PCV3,
1984,Pol3,60.73
1984,RCV1,
1984,Rota1,
1984,TT2plus,17.33
1984,VAD1,
1984,YFV,
1984,rotac,
1985,BCG,64.32
1985,DTP1,
1985,DTP3,58.74
1985,DTP4,
1985,HepB3,
1985,HepB_BD,
1985,Hib3,
1985,IPV1,
1985,JapEnc,
1985,MCV1,55.98
1985,MCV2,
1985,MenA,
1985,PAB,
1985,PCV1,
1985,PCV2,
1985,PCV3,
1985,Pol3,62.55
1985,RCV1,
1985,Rota1,
1985,TT2plus,21.79
1985,VAD1,
1985,YFV,70.0
1985,rotac,
1986,BCG,68.12
1986,DTP1,
1986,DTP3,62.33
1986,DTP4,
1986,HepB3,
1986,HepB_BD,
1986,Hib3,
1986,IPV1,
1986,JapEnc,
1986,MCV1,60.22
1986,MCV2,
1986,MenA,
1986,PAB,
1986,PCV1,
1986,PCV2,
1986,PCV3,
1986,Pol3,66.35
1986,RCV1,
1986,Rota1,
1986,TT2plus,24.27
1986,VAD1,
1986,YFV,73.0
1986,rotac,
1987,BCG,73.96
1987,DTP1,
1987,DTP3,66.53
1987,DTP4,
1987,HepB3,
1987,HepB_BD,
1987,Hib3,
1987,IPV1,
1987,JapEnc,
1987,MCV1,64.18
1987,MCV2,
1987,MenA,
1987,PAB,
1987,PCV1,
1987,PCV2,
1987,PCV3,
1987,Pol3,68.23
1987,RCV1,
1987,Rota1,
1987,TT2plus,32.31
1987,VAD1,
1987,YFV,74.0
1987,rotac,
1988,BCG,76.12
1988,DTP1,
1988,DTP3,69.44
1988,DTP4,
1988,HepB3,
1988,HepB_BD,
1988,Hib3,
1988,IPV1,
1988,JapEnc,
1988,MCV1,67.33
1988,MCV2,
1988,MenA,
1988,PAB,
1988,PCV1,
1988,PCV2,
1988,PCV3,
1988,Pol3,71.3
1988,RCV1,
1988,Rota1,
1988,TT2plus,35.14
1988,VAD1,
1988,YFV,48.67
1988,rotac,
1989,BCG,79.98
1989,DTP1,
1989,DTP3,73.56
1989,DTP4,
1989,HepB3,39.67
1989,HepB_BD,
1989,Hib3,
1989,IPV1,
1989,JapEnc,
1989,MCV1,71.66
1989,MCV2,
1989,MenA,
1989,PAB,
1989,PCV1,
1989,PCV2,
1989,PCV3,
1989,Pol3,74.71
1989,RCV1,
1989,Rota1,
1989,TT2plus,38.7
1989,VAD1,
1989,YFV,53.67
1989,rotac,
1990,BCG,83.98
1990,DTP1,
1990,DTP3,78.64
1990,DTP4,
1990,HepB3,74.78
1990,HepB_BD,
1990,Hib3,
1990,IPV1,
1990,JapEnc,
1990,MCV1,76.83
1990,MCV2,
1990,MenA,
1990,PAB,
1990,PCV1,
1990,PCV2,
1990,PCV3,
1990,Pol3,80.28
1990,RCV1,
1990,Rota1,
1990,TT2plus,50.86
1990,VAD1,
1990,YFV,48.5
1990,rotac,
1991,BCG,82.25
1991,DTP1,
1991,DTP3,78.61
1991,DTP4,
1991,HepB3,57.88
1991,HepB_BD,
1991,Hib3,75.2
1991,IPV1,
1991,JapEnc,
1991,MCV1,77.09
1991,MCV2,
1991,MenA,
1991,PAB,
1991,PCV1,
1991,PCV2,
1991,PCV3,
1991,Pol3,79.39
1991,RCV1,
1991,Rota1,
1991,TT2plus,62.55
1991,VAD1,
1991,YFV,45.78
1991,rotac,
1992,BCG,82.62
1992,DTP1,
1992,DTP3,78.64
1992,DTP4,
1992,HepB3,56.65
1992,HepB_BD,
1992,Hib3,87.75
1992,IPV1,
1992,JapEnc,
1992,MCV1,75.94
1992,MCV2,
1992,MenA,
1992,PAB,
1992,PCV1,
1992,PCV2,
1992,PCV3,
1992,Pol3,79.33
1992,RCV1,
1992,Rota1,
1992,TT2plus,60.39
1992,VAD1,
1992,YFV,28.07
1992,rotac,
1993,BCG,82.32
1993,DTP1,
1993,DTP3,77.99
1993,DTP4,
1993,HepB3,65.89
1993,HepB_BD,
1993,Hib3,71.0
1993,IPV1,
1993,JapEnc,
1993,MCV1,76.44
1993,MCV2,
1993,MenA,
1993,PAB,
1993,PCV1,
1993,PCV2,
1993,PCV3,
1993,Pol3,79.31
1993,RCV1,
1993,Rota1,
1993,TT2plus,62.85
1993,VAD1,
1993,YFV,26.5
1993,rotac,
1994,BCG,83.8
1994,DTP1,
1994,DTP3,80.05
1994,DTP4,
1994,HepB3,66.6
1994,HepB_BD,
1994,Hib3,71.33
1994,IPV1,
1994,JapEnc,
1994,MCV1,77.49
1994,MCV2,
1994,MenA,
1994,PAB,
1994,PCV1,
1994,PCV2,
1994,PCV3,
1994,Pol3,80.06
1994,RCV1,
1994,Rota1,
1994,TT2plus,62.46
1994,VAD1,
1994,YFV,28.83
1994,rotac,
1995,BCG,84.92
1995,DTP1,
1995,DTP3,82.13
1995,DTP4,
1995,HepB3,69.29
1995,HepB_BD,
1995,Hib3,68.62
1995,IPV1,
1995,JapEnc,
1995,MCV1,79.56
1995,MCV2,78.0
1995,MenA,
1995,PAB,
1995,PCV1,
1995,PCV2,
1995,PCV3,
1995,Pol3,82.27
1995,RCV1,
1995,Rota1,
1995,TT2plus,65.49
1995,VAD1,
1995,YFV,33.71
1995,rotac,
1996,BCG,85.97
1996,DTP1,
1996,DTP3,82.75
1996,DTP4,
1996,HepB3,75.57
1996,HepB_BD,
1996,Hib3,70.75
1996,IPV1,
1996,JapEnc,
1996,MCV1,80.88
1996,MCV2,71.0
1996,MenA,
1996,PAB,
1996,PCV1,
1996,PCV2,
1996,PCV3,
1996,Pol3,83.03
1996,RCV1,
1996,Rota1,
1996,TT2plus,63.98
1996,VAD1,
1996,YFV,33.5
1996,rotac,
1997,BCG,83.89
1997,DTP1,
1997,DTP3,80.97
1997,DTP4,
1997,HepB3,77.16
1997,HepB_BD,
1997,Hib3,75.85
1997,IPV1,
1997,JapEnc,
1997,MCV1,80.2
1997,MCV2,74.2
1997,MenA,
1997,PAB,
1997,PCV1,
1997,PCV2,
1997,PCV3,
1997,Pol3,81.71
1997,RCV1,
1997,Rota1,
1997,TT2plus,68.35
1997,VAD1,50.0
1997,YFV,44.4
1997,rotac,
1998,BCG,84.79
1998,DTP1,
1998,DTP3,81.22
1998,DTP4,
1998,HepB3,76.93
1998,HepB_BD,
1998,Hib3,70.81
1998,IPV1,
1998,JapEnc,
1998,MCV1,81.23
1998,MCV2,81.8
1998,MenA,
1998,PAB,
1998,PCV1,
1998,PCV2,
1998,PCV3,
1998,Pol3,82.18
1998,RCV1,
1998,Rota1,
1998,TT2plus,49.32
1998,VAD1,99.0
1998,YFV,42.36
1998,rotac,
1999,BCG,85.55
1999,DTP1,
1999,DTP3,81.12
1999,DTP4,
1999,HepB3,76.74
1999,HepB_BD,
1999,Hib3,80.16
1999,IPV1,
1999,JapEnc,
1999,MCV1,81.3
1999,MCV2,89.21
1999,MenA,
1999,PAB,
1999,PCV1,
1999,PCV2,
1999,PCV3,
1999,Pol3,81.21
1999,RCV1,
1999,Rota1,
1999,TT2plus,55.78
1999,VAD1,65.0
1999,YFV,51.4
1999,rotac,
2000,BCG,85.57
2000,DTP1,87.0
2000,DTP3,81.97
2000,DTP4,
2000,HepB3,77.07
2000,HepB_BD,83.45
2000,Hib3,79.39
2000,IPV1,
2000,JapEnc,
2000,MCV1,81.33
2000,MCV2,80.84
2000,MenA,
2000,PAB,81.45
2000,PCV1,
2000,PCV2,
2000,PCV3,
2000,Pol3,82.44
2000,RCV1,56.0
2000,Rota1,
2000,TT2plus,56.43
2000,VAD1,69.88
2000,YFV,41.38
2000,rotac,
2001,BCG,84.59
2001,DTP1,85.29
2001,DTP3,81.99
