Year,BCG,DTP1,DTP3,DTP4,HepB3,HepB_BD,Hib3,IPV1,JapEnc,MCV1,MCV2,MenA,PAB,PCV1,PCV2,PCV3,Pol3,RCV1,Rota1,TT2plus,VAD1,YFV,rotac
1980,54.4390243902439,,45.21875,,,,,,,44.136986301369866,,,,,,,49.11224489795919,,,13.694444444444445,,,
1981,58.157407407407405,,49.023622047244096,,,,,,,45.18556701030928,,,,,,,52.574803149606296,,,15.607843137254902,,,
1982,59.364583333333336,,51.93693693693694,,,,,,,44.114583333333336,,,,,,,56.075630252100844,,,16.41304347826087,,,
1983,63.55045871559633,,54.65909090909091,,,,,,,50.46491228070175,,,,,,,59.752,,,17.975,,,
1984,62.504347826086956,,56.64661654135338,,,,,,,51.62698412698413,,,,,,,60.726618705035975,,,17.326923076923077,,,
1985,64.32203389830508,,58.74264705882353,,,,,,,55.97857142857143,,,,,,,62.54744525547445,,,21.79032258064516,,70.0,
1986,68.12,,62.328947368421055,,,,,,,60.22,,,,,,,66.34666666666666,,,24.26984126984127,,73.0,
1987,73.96153846153847,,66.52980132450331,,,,,,,64.18354430379746,,,,,,,68.23417721518987,,,32.31325301204819,,74.0,
1988,76.11678832116789,,69.4390243902439,,,,,,,67.32727272727273,,,,,,,71.30061349693251,,,35.14492753623188,,48.666666666666664,
1989,79.9779411764706,,73.55555555555556,,39.666666666666664,,,,,71.6583850931677,,,,,,,74.71069182389937,,,38.701149425287355,,53.666666666666664,
1990,83.97945205479452,,78.64327485380117,,74.77777777777777,,,,,76.82634730538922,,,,,,,80.28488372093024,,,50.864197530864196,,48.5,
1991,82.25,,78.61046511627907,,57.88235294117647,,75.2,,,77.09142857142857,,,,,,,79.38505747126437,,,62.54961832061068,,45.77777777777778,
1992,82.61744966442953,,78.64161849710983,,56.645161290322584,,87.75,,,75.94219653179191,,,,,,,79.3313953488372,,,60.38805970149254,,28.071428571428573,
1993,82.32214765100672,,77.98850574712644,,65.88888888888889,,71.0,,,76.43502824858757,,,,,,,79.30681818181819,,,62.84615384615385,,26.5,
1994,83.8013698630137,,80.05202312138728,,66.6,,71.33333333333333,,,77.49112426035504,,,,,,,80.06432748538012,,,62.46341463414634,,28.833333333333332,
1995,84.91558441558442,,82.12972972972973,,69.29166666666667,,68.625,,,79.56043956043956,78.0,,,,,,82.27173913043478,,,65.48837209302326,,33.714285714285715,
1996,85.97350993377484,,82.74585635359117,,75.57142857142857,,70.75,,,80.88268156424581,71.0,,,,,,83.02793296089385,,,63.98449612403101,,33.5,
1997,83.89308176100629,,80.96808510638297,,77.15625,,75.85,,,80.1989247311828,74.2,,,,,,81.70588235294117,,,68.34959349593495,50.0,44.4,
1998,84.78767123287672,,81.22093023255815,,76.92753623188406,,70.80645161290323,,,81.23121387283237,81.8,,,,,,82.18023255813954,,,49.31944444444444,99.0,42.357142857142854,
1999,85.54605263157895,,81.12,,76.7375,,80.15789473684211,,,81.29545454545455,89.21212121212122,,,,,,81.21264367816092,,,55.77777777777778,65.0,51.4,
2000,85.56953642384106,87.0,81.97237569060773,,77.06521739130434,83.44827586206897,79.39285714285714,,,81.33142857142857,80.84482758620689,,81.45,,,,82.43888888888888,56.0,,56.42696629213483,69.88,41.375,
2001,84.59354838709677,85.28846153846153,81.98882681564245,,80.01960784313725,81.33333333333333,80.50819672131148,,,81.67039106145252,83.10958904109589,,57.07692307692308,,,,82.32960893854748,76.0,,52.24742268041237,63.275862068965516,48.63636363636363,
2002,87.0125786163522,88.64473684210526,84.25824175824175,,81.26315789473684,85.73333333333333,82.34210526315789,,,82.63333333333334,86.30434782608695,,,,,,84.37569060773481,80.0,,57.38636363636363,65.93103448275862,53.73913043478261,
2003,87.78846153846153,90.03896103896103,85.5464480874317,89.0,81.42424242424242,82.73846153846154,85.76543209876543,,,84.76502732240438,86.21739130434783,,,,,,85.76373626373626,92.0,,53.75,65.73333333333333,55.30434782608695,
2004,88.00632911392405,89.48192771084338,85.69189189189188,89.0,84.54225352112677,85.78571428571429,86.59550561797752,77.0,,84.68449197860963,87.1590909090909,,97.0,,,,85.71505376344086,89.87012987012987,,60.794117647058826,66.1875,61.05882352941177,
2005,88.60625,90.80838323353294,87.59574468085107,91.0,85.98064516129033,84.1842105263158,86.94949494949495,93.0,,85.93121693121694,84.63541666666667,,97.0,,,,87.36507936507937,92.46,,62.59803921568628,66.76,72.76470588235294,
2006,91.1358024691358,91.92899408284023,89.16753926701571,93.0,87.5625,83.30985915492958,88.37142857142857,99.0,85.0,88.32631578947368,86.08080808080808,,74.11111111111111,,,,89.18324607329843,92.52857142857142,,65.02884615384616,76.66666666666667,76.62162162162163,
2007,90.66867469879519,92.33529411764705,89.45833333333333,93.0,87.60818713450293,81.84210526315789,91.24545454545455,99.0,86.75,87.87046632124353,84.79611650485437,,75.62068965517241,,,,89.11917098445596,92.08,,65.08653846153847,71.12280701754386,77.82352941176471,
2008,90.96932515337423,92.56024096385542,89.43315508021391,94.0,87.65497076023392,82.24691358024691,88.13492063492063,99.0,77.83333333333333,88.4972972972973,86.62857142857143,,83.6923076923077,70.5,,45.357142857142854,89.77127659574468,93.46315789473684,74.91666666666667,65.74074074074075,69.64150943396227,77.57142857142857,56.07692307692308
2009,90.75776397515529,93.16071428571429,89.77368421052631,93.0,88.64571428571429,82.93506493506493,89.35374149659864,77.5,56.285714285714285,88.88297872340425,85.12173913043478,,80.23809523809524,74.13636363636364,,62.206896551724135,89.44444444444444,92.3076923076923,78.0,68.00943396226415,73.72881355932203,79.60526315789474,66.73684210526316
2010,91.60759493670886,93.54491017964072,90.14285714285714,93.0,89.57386363636364,82.23076923076923,89.1,91.5,74.77777777777777,88.70212765957447,86.60714285714286,,75.19047619047619,85.65625,,71.0,89.89893617021276,92.14414414414415,76.95833333333333,65.84761904761905,71.10714285714286,78.0,66.78260869565217
2011,91.15189873417721,93.57309941520468,90.82978723404256,96.0,89.2768361581921,82.6829268292683,90.11904761904762,95.75,80.71428571428571,90.01063829787235,87.77310924369748,,69.875,83.51063829787235,,71.70689655172414,90.51851851851852,92.97345132743362,86.30434782608695,66.76923076923077,73.71428571428571,80.6923076923077,79.0
